NAME;LUN;LUN_REDUCED;NAMETYPE;FACE;IAU_DIAMETER;IAU_CENTER_LATITUDE;IAU_CENTER_LONGITUDE;
Lunar formations database V2.1;� Copyright Christian Legrand;
For personal use only;
ABBOT;AA0556N05474E;0556N05474;AA;Face visible;10.4043;5.55616226346136;54.7430589309508;
ABEL;AA3463S08578E;3463S08578;AA;Zone des librations;137.349;-34.6257003361427;85.7762185311885;
ABENEZRA;AA2099S01189E;2099S01189;AA;Face visible;43.1887;-20.9935637435813;11.8906568620438;
ABETTI;AA2011N02782E;2011N02782;AA;Face visible;1.59879;20.1127273642687;27.8157242752838;
ABULFEDA;AA1387S01391E;1387S01391;AA;Face visible;62.2345;-13.8650869926429;13.9102981681918;
ACOSTA;AA0565S06014E;0565S06014;AA;Face visible;13.0615;-5.64530508826036;60.1394730652901;
ADAMS;AA3189S06839E;3189S06839;AA;Face visible;63.2702;-31.8916341691825;68.3869015353649;
AGATHARCHIDES;AA1985S03111W;1985S03111;AA;Face visible;51.9832;-19.8537009804279;328.885381439857;
AGRIPPA;AA0410N01047E;0410N01047;AA;Face visible;43.7467;4.09639942536124;10.4741346961679;
AIRY;AA1814S00561E;1814S00561;AA;Face visible;38.8999;-18.1416280150276;5.61485798365116;
AKIS;AA2001N03176W;2001N03176;AA;Face visible;2.28179;20.0108621824275;328.240599939583;
AL-BAKRI;AA1434N02025E;1434N02025;AA;Face visible;12.2124;14.3353921449422;20.2451109277967;
AL-MARRAKUSHI;AA1045S05577E;1045S05577;AA;Face visible;8.56535;-10.4467383369904;55.770266277674;
ALAN;AA1093S00617W;1093S00617;AA;Face visible;1.43526;-10.9330563533681;353.82908575974;
ALBATEGNIUS;AA1124S00401E;1124S00401;AA;Face visible;130.84;-11.2400256943076;4.00919711121067;
ALBERT;AA3830N03500W;3830N03500;AA;Face visible;0.1;38.298683166504;325.00181579591;
ALDRIN;AA0141N02209E;0141N02209;AA;Face visible;2.80139;1.40585054918935;22.0899462614279;
ALEXANDER;AA4025N01369E;4025N01369;AA;Face visible;94.8028;40.2515214746878;13.6931543755926;
ALFRAGANUS;AA0542S01897E;0542S01897;AA;Face visible;20.5207;-5.42166110863528;18.9706169940179;
ALHAZEN;AA1591N07183E;1591N07183;AA;Face visible;34.648;15.9147834419603;71.8278983870921;
ALIACENSIS;AA3060S00513E;3060S00513;AA;Face visible;79.6473;-30.5951934972832;5.13076746903611;
ALMANON;AA1685S01514E;1685S01514;AA;Face visible;47.7583;-16.8450281530623;15.1350762325706;
ALOHA;AA2979N05388W;2979N05388;AA;Face visible;2.54796;29.7926088803643;306.120409923215;
